Employee_ID,Review_Date,Performance_Rating,Performance_Category,Review_Type
EMP10000,2021-12-31,2.2,Meets Expectations,Mid-Year
EMP10000,2022-06-30,4.2,Exceeds Expectations,Mid-Year
EMP10000,2022-12-31,3.3,Exceeds Expectations,Annual
EMP10000,2023-06-30,3.3,Meets Expectations,Mid-Year
EMP10000,2023-12-31,3.6,Meets Expectations,Mid-Year
EMP10000,2024-06-30,3.8,Needs Improvement,Annual
EMP10000,2024-12-31,3.6,Outstanding,Annual
EMP10000,2025-06-30,3.4,Needs Improvement,Annual
EMP10000,2025-12-31,2.8,Exceeds Expectations,Mid-Year
EMP10000,2026-06-30,3.0,Meets Expectations,Annual
EMP10001,2022-06-30,2.1,Outstanding,Mid-Year
EMP10001,2022-12-31,2.3,Meets Expectations,Mid-Year
EMP10001,2023-06-30,3.9,Outstanding,Annual
EMP10001,2023-12-31,2.5,Meets Expectations,Annual
EMP10001,2024-06-30,3.4,Outstanding,Annual
EMP10001,2024-12-31,2.3,Outstanding,Mid-Year
EMP10001,2025-06-30,2.8,Meets Expectations,Annual
EMP10001,2025-12-31,2.3,Exceeds Expectations,Mid-Year
EMP10001,2026-06-30,2.8,Meets Expectations,Annual
EMP10002,2023-12-31,4.0,Meets Expectations,Mid-Year
EMP10002,2024-06-30,3.0,Meets Expectations,Mid-Year
EMP10002,2024-12-31,3.5,Meets Expectations,Annual
EMP10002,2025-06-30,4.5,Exceeds Expectations,Annual
EMP10002,2025-12-31,3.2,Exceeds Expectations,Annual
EMP10002,2026-06-30,2.0,Meets Expectations,Mid-Year
EMP10003,2024-12-31,3.5,Exceeds Expectations,Annual
EMP10003,2025-06-30,3.4,Meets Expectations,Annual
EMP10003,2025-12-31,3.6,Exceeds Expectations,Mid-Year
EMP10003,2026-06-30,2.7,Meets Expectations,Mid-Year
EMP10004,2023-06-30,3.3,Exceeds Expectations,Annual
EMP10004,2023-12-31,3.9,Needs Improvement,Mid-Year
EMP10004,2024-06-30,3.1,Meets Expectations,Annual
EMP10004,2024-12-31,3.9,Meets Expectations,Mid-Year
EMP10004,2025-06-30,2.5,Meets Expectations,Mid-Year
EMP10004,2025-12-31,2.5,Meets Expectations,Annual
EMP10004,2026-06-30,3.1,Outstanding,Annual
EMP10005,2023-06-30,3.2,Meets Expectations,Annual
EMP10005,2023-12-31,3.4,Exceeds Expectations,Annual
EMP10005,2024-06-30,3.1,Outstanding,Mid-Year
EMP10005,2024-12-31,2.9,Meets Expectations,Annual
EMP10005,2025-06-30,2.1,Needs Improvement,Annual
EMP10005,2025-12-31,3.0,Meets Expectations,Mid-Year
EMP10005,2026-06-30,3.7,Meets Expectations,Annual
EMP10006,2020-12-31,3.1,Needs Improvement,Annual
EMP10006,2021-06-30,2.8,Meets Expectations,Mid-Year
EMP10006,2021-12-31,3.0,Meets Expectations,Mid-Year
EMP10006,2022-06-30,2.3,Exceeds Expectations,Mid-Year
EMP10006,2022-12-31,3.3,Meets Expectations,Mid-Year
EMP10006,2023-06-30,1.8,Meets Expectations,Annual
EMP10006,2023-12-31,3.6,Needs Improvement,Annual
EMP10006,2024-06-30,2.4,Exceeds Expectations,Annual
EMP10006,2024-12-31,3.9,Exceeds Expectations,Annual
EMP10006,2025-06-30,3.4,Meets Expectations,Annual
EMP10006,2025-12-31,3.2,Meets Expectations,Mid-Year
EMP10006,2026-06-30,3.2,Meets Expectations,Mid-Year
EMP10007,2025-06-30,4.2,Needs Improvement,Annual
EMP10007,2025-12-31,2.9,Outstanding,Annual
EMP10007,2026-06-30,3.4,Needs Improvement,Mid-Year
EMP10008,2020-12-31,3.1,Meets Expectations,Mid-Year
EMP10008,2021-06-30,3.0,Meets Expectations,Mid-Year
EMP10008,2021-12-31,2.6,Meets Expectations,Annual
EMP10008,2022-06-30,3.6,Meets Expectations,Annual
EMP10008,2022-12-31,3.5,Meets Expectations,Mid-Year
EMP10008,2023-06-30,3.2,Meets Expectations,Annual
EMP10008,2023-12-31,2.7,Needs Improvement,Annual
EMP10008,2024-06-30,2.4,Meets Expectations,Mid-Year
EMP10008,2024-12-31,3.8,Outstanding,Mid-Year
EMP10008,2025-06-30,3.7,Meets Expectations,Mid-Year
EMP10008,2025-12-31,2.4,Meets Expectations,Annual
EMP10008,2026-06-30,3.2,Exceeds Expectations,Annual
EMP10009,2022-12-31,3.2,Needs Improvement,Annual
EMP10009,2023-06-30,3.7,Needs Improvement,Annual
EMP10009,2023-12-31,3.2,Meets Expectations,Annual
EMP10009,2024-06-30,3.3,Meets Expectations,Annual
EMP10009,2024-12-31,3.7,Needs Improvement,Annual
EMP10009,2025-06-30,2.7,Needs Improvement,Annual
EMP10009,2025-12-31,3.0,Meets Expectations,Annual
EMP10009,2026-06-30,2.6,Meets Expectations,Annual
EMP10010,2024-12-31,2.6,Meets Expectations,Mid-Year
EMP10010,2025-06-30,3.9,Meets Expectations,Annual
EMP10010,2025-12-31,3.4,Meets Expectations,Mid-Year
EMP10010,2026-06-30,3.4,Meets Expectations,Annual
EMP10011,2020-06-30,3.1,Exceeds Expectations,Annual
EMP10011,2020-12-31,2.4,Meets Expectations,Mid-Year
EMP10011,2021-06-30,3.3,Meets Expectations,Annual
EMP10011,2021-12-31,2.8,Meets Expectations,Mid-Year
EMP10011,2022-06-30,2.7,Meets Expectations,Mid-Year
EMP10011,2022-12-31,2.4,Meets Expectations,Mid-Year
EMP10011,2023-06-30,2.7,Meets Expectations,Annual
EMP10011,2023-12-31,3.5,Meets Expectations,Annual
EMP10011,2024-06-30,4.3,Exceeds Expectations,Mid-Year
EMP10011,2024-12-31,3.4,Meets Expectations,Annual
EMP10011,2025-06-30,3.9,Meets Expectations,Mid-Year
EMP10011,2025-12-31,3.7,Needs Improvement,Mid-Year
EMP10011,2026-06-30,3.6,Meets Expectations,Mid-Year
EMP10012,2026-06-30,3.6,Meets Expectations,Annual
EMP10013,2022-12-31,2.9,Meets Expectations,Mid-Year
EMP10013,2023-06-30,3.3,Meets Expectations,Mid-Year
EMP10013,2023-12-31,3.2,Needs Improvement,Annual
EMP10013,2024-06-30,4.0,Needs Improvement,Mid-Year
EMP10013,2024-12-31,2.7,Meets Expectations,Mid-Year
