Employee_ID,Training_Date,Training_Name,Training_Hours,Completion_Status,Assessment_Score
EMP10000,2025-09-30,Sales Negotiation,16,Completed,60.6
EMP10000,2025-04-11,Sales Negotiation,4,No Show,
EMP10000,2025-09-04,Advanced Excel,8,In Progress,
EMP10001,2024-10-16,Advanced Excel,16,Cancelled,
EMP10001,2023-12-14,Time Management,40,Completed,82.3
EMP10002,2025-02-10,Time Management,16,Completed,87.1
EMP10002,2026-03-21,Advanced Excel,8,Completed,77.0
EMP10002,2024-03-02,Power BI Fundamentals,40,Completed,83.7
EMP10004,2026-05-04,Leadership Essentials,40,Completed,75.6
EMP10005,2023-02-02,Power BI Fundamentals,8,Completed,70.8
EMP10007,2025-05-21,Advanced Excel,4,Completed,82.1
EMP10007,2026-06-20,Data Analytics,24,Completed,86.2
EMP10007,2025-03-26,Advanced Excel,4,In Progress,
EMP10007,2025-06-20,Communication Skills,8,Cancelled,
EMP10008,2021-10-28,Project Management,24,Completed,64.1
EMP10009,2023-04-05,Data Analytics,8,In Progress,
EMP10009,2023-03-02,Customer Handling,24,Completed,94.3
EMP10009,2025-01-19,Sales Negotiation,24,Completed,70.8
EMP10010,2025-02-23,Power BI Fundamentals,16,Completed,60.4
EMP10011,2021-10-03,Sales Negotiation,24,Completed,67.9
EMP10013,2024-03-14,Advanced Excel,8,Completed,73.9
EMP10013,2025-12-07,Data Analytics,8,Completed,75.2
EMP10014,2024-05-20,Project Management,4,Completed,67.1
EMP10015,2025-10-09,Project Management,4,No Show,
EMP10015,2025-08-01,Data Analytics,24,Completed,69.7
EMP10016,2025-03-03,Advanced Excel,8,Completed,71.9
EMP10017,2025-07-11,Communication Skills,40,Completed,87.2
EMP10017,2025-11-12,Sales Negotiation,8,Completed,94.1
EMP10018,2023-10-05,Cyber Security,24,Completed,69.4
EMP10018,2023-07-31,Leadership Essentials,8,Completed,95.5
EMP10018,2021-09-11,Communication Skills,8,Completed,53.1
EMP10018,2025-10-30,Sales Negotiation,16,Completed,89.2
EMP10020,2021-12-11,Project Management,16,Completed,80.3
EMP10020,2021-07-11,Customer Handling,24,In Progress,
EMP10020,2022-03-25,Power BI Fundamentals,16,Completed,64.3
EMP10024,2025-08-15,Data Analytics,16,Completed,92.4
EMP10024,2025-10-11,Advanced Excel,4,Completed,66.9
EMP10024,2023-08-17,Customer Handling,16,Completed,85.3
