Employee_ID,Event_Date,Event_Type,Old_Department_ID,New_Department_ID,Event_Reason
EMP10000,2021-04-12,Joining,,,Initial employment
EMP10000,2023-04-08,Resignation,101.0,101.0,Voluntary exit
EMP10000,2024-02-02,Promotion,101.0,101.0,Role progression
EMP10001,2021-11-20,Joining,,,Initial employment
EMP10002,2023-07-07,Joining,,,Initial employment
EMP10002,2024-09-23,Promotion,103.0,103.0,Role progression
EMP10002,2025-09-22,Leave of Absence,103.0,103.0,Temporary leave
EMP10003,2024-03-15,Joining,,,Initial employment
EMP10004,2022-12-28,Joining,,,Initial employment
EMP10004,2024-11-19,Promotion,106.0,106.0,Role progression
EMP10005,2022-10-31,Joining,,,Initial employment
EMP10005,2025-05-25,Termination,105.0,105.0,Involuntary exit
EMP10006,2020-03-18,Joining,,,Initial employment
EMP10006,2025-04-18,Manager Change,101.0,101.0,Reporting-line change
EMP10006,2025-04-15,Transfer,101.0,108.0,Business transfer
EMP10007,2024-10-23,Joining,,,Initial employment
EMP10007,2025-12-09,Transfer,104.0,105.0,Business transfer
EMP10008,2020-07-10,Joining,,,Initial employment
EMP10008,2021-10-10,Transfer,101.0,108.0,Business transfer
EMP10008,2024-12-04,Transfer,101.0,107.0,Business transfer
EMP10008,2023-09-30,Resignation,101.0,101.0,Voluntary exit
EMP10009,2022-03-24,Joining,,,Initial employment
EMP10009,2025-07-15,Leave of Absence,103.0,103.0,Temporary leave
EMP10010,2024-07-30,Joining,,,Initial employment
EMP10010,2025-08-17,Manager Change,103.0,103.0,Reporting-line change
EMP10011,2019-12-29,Joining,,,Initial employment
EMP10012,2025-10-31,Joining,,,Initial employment
EMP10012,2026-05-04,Manager Change,102.0,102.0,Reporting-line change
EMP10013,2022-06-11,Joining,,,Initial employment
EMP10014,2024-01-16,Joining,,,Initial employment
EMP10014,2025-06-28,Resignation,108.0,108.0,Voluntary exit
EMP10015,2025-04-28,Joining,,,Initial employment
EMP10016,2024-01-25,Joining,,,Initial employment
EMP10017,2024-12-12,Joining,,,Initial employment
EMP10018,2021-06-29,Joining,,,Initial employment
EMP10018,2026-01-05,Promotion,103.0,103.0,Role progression
EMP10018,2022-07-24,Transfer,103.0,105.0,Business transfer
EMP10018,2024-08-06,Transfer,103.0,104.0,Business transfer
EMP10018,2024-11-10,Transfer,103.0,105.0,Business transfer
EMP10019,2019-09-02,Joining,,,Initial employment
EMP10019,2025-03-02,Transfer,108.0,106.0,Business transfer
EMP10020,2020-06-25,Joining,,,Initial employment
EMP10020,2025-11-10,Transfer,101.0,107.0,Business transfer
EMP10020,2025-06-11,Rehire,101.0,101.0,Returned employee
EMP10020,2024-05-22,Promotion,101.0,101.0,Role progression
EMP10021,2025-12-07,Joining,,,Initial employment
EMP10022,2024-12-09,Joining,,,Initial employment
EMP10023,2024-12-12,Joining,,,Initial employment
EMP10024,2023-04-22,Joining,,,Initial employment
EMP10025,2025-01-26,Joining,,,Initial employment
EMP10026,2019-05-04,Joining,,,Initial employment
EMP10026,2023-09-23,Leave of Absence,102.0,102.0,Temporary leave
EMP10026,2022-06-06,Manager Change,102.0,102.0,Reporting-line change
EMP10027,2026-05-17,Joining,,,Initial employment
EMP10028,2023-09-28,Joining,,,Initial employment
EMP10029,2021-02-24,Joining,,,Initial employment
EMP10029,2024-09-23,Transfer,101.0,108.0,Business transfer
EMP10029,2026-04-28,Transfer,101.0,103.0,Business transfer
EMP10029,2021-08-24,Resignation,101.0,101.0,Voluntary exit
EMP10029,2023-02-23,Leave of Absence,101.0,101.0,Temporary leave
EMP10029,2022-01-03,Promotion,101.0,101.0,Role progression
EMP10030,2024-08-05,Joining,,,Initial employment
EMP10031,2025-02-26,Joining,,,Initial employment
EMP10032,2025-08-13,Joining,,,Initial employment
EMP10033,2021-03-07,Joining,,,Initial employment
EMP10034,2019-03-18,Joining,,,Initial employment
EMP10034,2022-03-27,Transfer,107.0,103.0,Business transfer
EMP10034,2021-04-27,Transfer,107.0,102.0,Business transfer
EMP10035,2019-02-28,Joining,,,Initial employment
EMP10035,2022-04-13,Leave of Absence,101.0,101.0,Temporary leave
EMP10036,2025-10-14,Joining,,,Initial employment
EMP10037,2026-05-09,Joining,,,Initial employment
EMP10038,2023-03-04,Joining,,,Initial employment
EMP10038,2024-08-04,Promotion,105.0,105.0,Role progression
EMP10038,2023-12-03,Promotion,105.0,105.0,Role progression
EMP10039,2024-04-20,Joining,,,Initial employment
EMP10039,2026-01-15,Transfer,102.0,106.0,Business transfer
EMP10040,2024-11-26,Joining,,,Initial employment
EMP10041,2022-07-25,Joining,,,Initial employment
EMP10042,2019-03-09,Joining,,,Initial employment
EMP10043,2025-06-10,Joining,,,Initial employment
EMP10044,2024-04-16,Joining,,,Initial employment
EMP10044,2025-03-02,Manager Change,101.0,101.0,Reporting-line change
EMP10045,2026-06-14,Joining,,,Initial employment
EMP10046,2019-12-31,Joining,,,Initial employment
EMP10046,2023-08-16,Transfer,102.0,106.0,Business transfer
EMP10046,2023-09-15,Resignation,102.0,102.0,Voluntary exit
EMP10046,2021-05-24,Resignation,102.0,102.0,Voluntary exit
EMP10047,2021-03-31,Joining,,,Initial employment
EMP10047,2022-07-10,Rehire,102.0,102.0,Returned employee
EMP10047,2023-10-09,Transfer,102.0,106.0,Business transfer
EMP10047,2025-05-16,Manager Change,102.0,102.0,Reporting-line change
EMP10048,2022-11-03,Joining,,,Initial employment
EMP10048,2023-11-07,Promotion,105.0,105.0,Role progression
EMP10048,2025-11-05,Transfer,105.0,108.0,Business transfer
EMP10049,2025-07-18,Joining,,,Initial employment
EMP10050,2021-08-04,Joining,,,Initial employment
EMP10051,2023-04-27,Joining,,,Initial employment
EMP10052,2022-10-09,Joining,,,Initial employment
EMP10052,2024-09-28,Promotion,107.0,107.0,Role progression
EMP10052,2024-08-13,Termination,107.0,107.0,Involuntary exit
EMP10052,2025-02-04,Transfer,107.0,106.0,Business transfer
EMP10052,2024-11-18,Transfer,107.0,105.0,Business transfer
EMP10053,2022-12-10,Joining,,,Initial employment
EMP10054,2021-01-31,Joining,,,Initial employment
EMP10054,2026-01-17,Termination,103.0,103.0,Involuntary exit
EMP10054,2021-10-15,Manager Change,103.0,103.0,Reporting-line change
EMP10054,2026-04-07,Promotion,103.0,103.0,Role progression
EMP10054,2025-04-02,Manager Change,103.0,103.0,Reporting-line change
EMP10054,2023-01-11,Promotion,103.0,103.0,Role progression
EMP10055,2019-12-07,Joining,,,Initial employment
EMP10055,2024-05-14,Termination,107.0,107.0,Involuntary exit
EMP10055,2022-08-12,Promotion,107.0,107.0,Role progression
EMP10055,2025-03-03,Rehire,107.0,107.0,Returned employee
EMP10055,2021-11-23,Transfer,107.0,107.0,Business transfer
EMP10055,2025-07-18,Transfer,107.0,103.0,Business transfer
EMP10056,2020-01-18,Joining,,,Initial employment
EMP10057,2021-09-30,Joining,,,Initial employment
EMP10057,2026-01-25,Transfer,101.0,108.0,Business transfer
EMP10057,2024-08-11,Transfer,101.0,103.0,Business transfer
EMP10058,2023-04-06,Joining,,,Initial employment
EMP10058,2025-11-26,Resignation,107.0,107.0,Voluntary exit
EMP10059,2019-10-27,Joining,,,Initial employment
EMP10059,2024-06-08,Resignation,102.0,102.0,Voluntary exit
EMP10059,2022-04-28,Leave of Absence,102.0,102.0,Temporary leave
EMP10059,2022-12-16,Transfer,102.0,105.0,Business transfer
EMP10059,2024-06-25,Transfer,102.0,105.0,Business transfer
EMP10060,2019-05-19,Joining,,,Initial employment
EMP10061,2019-12-25,Joining,,,Initial employment
EMP10061,2023-12-29,Termination,101.0,101.0,Involuntary exit
EMP10062,2021-04-15,Joining,,,Initial employment
EMP10063,2023-03-03,Joining,,,Initial employment
EMP10063,2023-12-08,Termination,102.0,102.0,Involuntary exit
EMP10064,2023-06-16,Joining,,,Initial employment
EMP10065,2024-06-05,Joining,,,Initial employment
EMP10066,2022-07-27,Joining,,,Initial employment
EMP10067,2025-12-05,Joining,,,Initial employment
EMP10068,2021-06-27,Joining,,,Initial employment
EMP10068,2024-03-06,Termination,101.0,101.0,Involuntary exit
EMP10068,2023-02-12,Termination,101.0,101.0,Involuntary exit
EMP10069,2022-02-08,Joining,,,Initial employment
EMP10069,2023-05-27,Resignation,101.0,101.0,Voluntary exit
EMP10069,2024-09-10,Manager Change,101.0,101.0,Reporting-line change
EMP10070,2024-12-26,Joining,,,Initial employment
EMP10071,2021-09-22,Joining,,,Initial employment
EMP10071,2024-04-06,Transfer,101.0,107.0,Business transfer
EMP10072,2025-10-18,Joining,,,Initial employment
EMP10073,2025-12-31,Joining,,,Initial employment
EMP10074,2025-05-09,Joining,,,Initial employment
EMP10075,2024-11-21,Joining,,,Initial employment
EMP10076,2022-05-22,Joining,,,Initial employment
EMP10076,2026-03-23,Promotion,102.0,102.0,Role progression
EMP10077,2023-11-20,Joining,,,Initial employment
EMP10077,2025-12-26,Leave of Absence,108.0,108.0,Temporary leave
EMP10078,2019-06-14,Joining,,,Initial employment
EMP10079,2021-09-25,Joining,,,Initial employment
EMP10079,2023-05-24,Transfer,108.0,101.0,Business transfer
EMP10080,2026-01-11,Joining,,,Initial employment
EMP10081,2022-07-31,Joining,,,Initial employment
EMP10082,2026-01-08,Joining,,,Initial employment
EMP10083,2020-10-18,Joining,,,Initial employment
EMP10084,2026-04-14,Joining,,,Initial employment
EMP10085,2025-01-20,Joining,,,Initial employment
EMP10086,2024-03-24,Joining,,,Initial employment
EMP10087,2024-08-08,Joining,,,Initial employment
EMP10088,2024-10-12,Joining,,,Initial employment
EMP10088,2026-02-01,Promotion,108.0,108.0,Role progression
EMP10089,2022-02-14,Joining,,,Initial employment
EMP10089,2026-01-12,Transfer,102.0,105.0,Business transfer
EMP10090,2024-03-04,Joining,,,Initial employment
EMP10090,2025-11-25,Promotion,103.0,103.0,Role progression
EMP10091,2019-09-24,Joining,,,Initial employment
EMP10091,2021-08-15,Manager Change,106.0,106.0,Reporting-line change
EMP10091,2024-06-04,Manager Change,106.0,106.0,Reporting-line change
EMP10091,2025-06-10,Resignation,106.0,106.0,Voluntary exit
EMP10091,2021-03-31,Termination,106.0,106.0,Involuntary exit
EMP10091,2021-06-20,Rehire,106.0,106.0,Returned employee
EMP10092,2024-01-20,Joining,,,Initial employment
EMP10092,2025-10-09,Promotion,102.0,102.0,Role progression
EMP10093,2023-09-05,Joining,,,Initial employment
EMP10093,2024-03-08,Manager Change,108.0,108.0,Reporting-line change
EMP10094,2025-04-12,Joining,,,Initial employment
EMP10095,2025-09-08,Joining,,,Initial employment
EMP10096,2023-02-19,Joining,,,Initial employment
EMP10096,2024-04-16,Transfer,107.0,108.0,Business transfer
