Employee_ID,Month,Working_Days,Absent_Days,Overtime_Hours,Days_Present
EMP10000,2021-04-01,18,2.0,2.1,16
EMP10000,2021-05-01,22,2.0,6.8,20
EMP10000,2021-06-01,18,5.0,6.3,13
EMP10000,2021-07-01,20,1.0,6.6,19
EMP10000,2021-08-01,21,1.0,8.1,20
EMP10000,2021-09-01,18,4.0,9.6,14
EMP10000,2021-10-01,21,0.0,2.8,21
EMP10000,2022-01-01,19,0.0,5.0,19
EMP10000,2022-04-01,18,0.0,2.6,18
EMP10000,2022-05-01,20,1.0,2.8,19
EMP10000,2022-06-01,21,3.0,2.4,18
EMP10000,2022-07-01,21,4.0,11.0,17
EMP10000,2022-08-01,19,2.0,0.0,17
EMP10000,2022-09-01,18,1.0,7.5,17
EMP10000,2022-10-01,19,1.0,1.5,18
EMP10000,2022-11-01,22,5.0,9.6,17
EMP10000,2022-12-01,22,1.0,2.3,21
EMP10000,2023-01-01,20,1.0,10.6,19
EMP10000,2023-02-01,19,4.0,8.3,15
EMP10000,2023-03-01,21,3.0,7.2,18
EMP10000,2023-04-01,21,2.0,0.0,19
EMP10000,2023-06-01,19,1.0,13.6,18
EMP10000,2023-07-01,21,3.0,0.2,18
EMP10000,2023-08-01,20,1.0,5.8,19
EMP10000,2023-09-01,20,1.0,4.0,19
EMP10000,2023-10-01,19,1.0,11.7,18
EMP10000,2023-11-01,21,2.0,10.4,19
EMP10000,2023-12-01,20,1.0,7.9,19
EMP10000,2024-01-01,21,1.0,10.0,20
EMP10000,2024-02-01,19,1.0,2.5,18
EMP10000,2024-03-01,21,0.0,0.0,21
EMP10000,2024-04-01,22,2.0,2.9,20
EMP10000,2024-05-01,19,1.0,6.7,18
EMP10000,2024-07-01,20,0.0,1.9,20
EMP10000,2024-09-01,18,1.0,3.3,17
EMP10000,2024-10-01,18,1.0,0.0,17
EMP10000,2024-11-01,19,1.0,10.1,18
EMP10000,2024-12-01,19,1.0,7.5,18
EMP10000,2025-01-01,18,3.0,8.2,15
EMP10000,2025-02-01,18,1.0,0.0,17
EMP10000,2025-04-01,18,2.0,8.4,16
EMP10000,2025-05-01,22,1.0,12.4,21
EMP10000,2025-06-01,18,1.0,7.8,17
EMP10000,2025-08-01,22,2.0,6.5,20
EMP10000,2025-11-01,18,2.0,0.0,16
EMP10000,2025-12-01,19,5.0,0.9,14
EMP10000,2026-01-01,22,3.0,5.9,19
EMP10000,2026-02-01,22,3.0,7.5,19
EMP10000,2026-03-01,21,0.0,5.5,21
EMP10000,2026-04-01,22,1.0,10.3,21
EMP10000,2026-05-01,19,1.0,8.0,18
EMP10000,2026-06-01,22,3.0,2.2,19
EMP10001,2021-11-01,22,3.0,7.5,19
EMP10001,2022-01-01,19,0.0,11.7,19
EMP10001,2022-03-01,18,0.0,8.1,18
EMP10001,2022-04-01,18,2.0,3.3,16
EMP10001,2022-05-01,18,0.0,9.0,18
EMP10001,2022-06-01,18,3.0,6.4,15
EMP10001,2022-07-01,19,2.0,14.7,17
EMP10001,2022-08-01,19,1.0,0.0,18
EMP10001,2022-09-01,21,0.0,14.8,21
EMP10001,2022-10-01,18,0.0,10.7,18
EMP10001,2022-11-01,22,0.0,8.3,22
EMP10001,2023-01-01,19,1.0,12.1,18
EMP10001,2023-02-01,19,3.0,0.0,16
EMP10001,2023-03-01,20,1.0,9.1,19
EMP10001,2023-04-01,22,2.0,12.3,20
EMP10001,2023-05-01,20,0.0,8.3,20
EMP10001,2023-06-01,20,1.0,1.3,19
EMP10001,2023-07-01,20,0.0,7.0,20
EMP10001,2023-08-01,18,1.0,11.7,17
EMP10001,2023-09-01,20,1.0,2.5,19
EMP10001,2023-10-01,19,2.0,13.2,17
EMP10001,2023-11-01,22,0.0,2.1,22
EMP10001,2024-01-01,22,2.0,14.8,20
EMP10001,2024-02-01,21,0.0,10.6,21
EMP10001,2024-03-01,18,2.0,8.1,16
EMP10001,2024-04-01,18,3.0,4.1,15
EMP10001,2024-05-01,19,2.0,1.1,17
EMP10001,2024-06-01,19,3.0,9.2,16
EMP10001,2024-07-01,22,1.0,10.1,21
EMP10001,2024-08-01,20,0.0,7.1,20
EMP10001,2024-09-01,20,1.0,7.0,19
EMP10001,2024-10-01,20,2.0,9.1,18
EMP10001,2024-11-01,21,1.0,9.8,20
EMP10001,2025-01-01,20,1.0,11.3,19
EMP10001,2025-02-01,20,1.0,3.5,19
EMP10001,2025-03-01,18,0.0,13.3,18
EMP10001,2025-04-01,19,2.0,7.3,17
EMP10001,2025-05-01,21,1.0,9.0,20
EMP10001,2025-06-01,22,1.0,10.0,21
EMP10001,2025-07-01,19,1.0,0.0,18
EMP10001,2025-08-01,19,3.0,5.9,16
EMP10001,2025-09-01,18,3.0,13.7,15
EMP10001,2025-10-01,18,0.0,11.6,18
EMP10001,2025-11-01,22,1.0,13.0,21
EMP10001,2025-12-01,21,1.0,10.6,20
EMP10001,2026-01-01,20,1.0,11.1,19
EMP10001,2026-02-01,19,1.0,7.6,18
EMP10001,2026-06-01,21,0.0,9.6,21
EMP10002,2023-07-01,22,1.0,8.6,21
EMP10002,2023-08-01,22,1.0,3.6,21
EMP10002,2023-09-01,19,1.0,10.9,18
EMP10002,2023-10-01,19,4.0,7.9,15
EMP10002,2023-11-01,22,0.0,9.8,22
EMP10002,2024-01-01,21,0.0,5.0,21
EMP10002,2024-02-01,19,2.0,10.5,17
EMP10002,2024-03-01,22,1.0,8.8,21
EMP10002,2024-04-01,18,1.0,6.6,17
EMP10002,2024-06-01,19,2.0,8.8,17
EMP10002,2024-08-01,20,1.0,12.4,19
EMP10002,2024-09-01,18,0.0,9.2,18
EMP10002,2024-11-01,22,4.0,1.9,18
EMP10002,2024-12-01,21,2.0,5.6,19
EMP10002,2025-02-01,18,2.0,3.5,16
EMP10002,2025-03-01,22,1.0,5.9,21
EMP10002,2025-04-01,22,2.0,8.0,20
EMP10002,2025-05-01,20,2.0,10.9,18
EMP10002,2025-06-01,21,1.0,15.3,20
EMP10002,2025-07-01,19,2.0,6.0,17
