Employee_ID,Effective_Date,Annual_Salary,Annual_Bonus,Change_Reason
EMP10000,2021-04-01,72243.0,2167.0,Annual Revision
EMP10000,2022-04-01,77296.0,9276.0,Promotion
EMP10000,2023-04-01,88105.0,10573.0,Annual Revision
EMP10000,2024-04-01,99446.0,4972.0,Promotion
EMP10000,2025-04-01,110087.0,3303.0,Annual Revision
EMP10000,2026-04-01,108990.0,8719.0,Promotion
EMP10001,2021-04-01,69123.0,8295.0,Market Adjustment
EMP10001,2022-04-01,72981.0,3649.0,No Change
EMP10001,2023-04-01,88011.0,7041.0,Promotion
EMP10001,2024-04-01,85577.0,2567.0,Annual Revision
EMP10001,2025-04-01,98518.0,4926.0,Annual Revision
EMP10001,2026-04-01,109065.0,3272.0,Annual Revision
EMP10002,2023-04-01,65693.0,1971.0,Annual Revision
EMP10002,2024-04-01,68856.0,3443.0,Annual Revision
EMP10002,2025-04-01,81005.0,4050.0,Annual Revision
EMP10002,2026-04-01,83611.0,4181.0,Annual Revision
EMP10003,2024-04-01,126622.0,6331.0,Annual Revision
EMP10003,2025-04-01,145918.0,17510.0,Annual Revision
EMP10003,2026-04-01,160261.0,8013.0,Market Adjustment
EMP10004,2022-04-01,31037.0,3724.0,Annual Revision
EMP10004,2023-04-01,34504.0,1035.0,Annual Revision
EMP10004,2024-04-01,38137.0,1907.0,No Change
EMP10004,2025-04-01,39669.0,1190.0,Annual Revision
EMP10004,2026-04-01,44518.0,3561.0,Promotion
EMP10005,2022-04-01,47653.0,3812.0,Market Adjustment
EMP10005,2023-04-01,49833.0,1495.0,Annual Revision
EMP10005,2024-04-01,53649.0,4292.0,Promotion
EMP10005,2025-04-01,57621.0,2881.0,Annual Revision
EMP10005,2026-04-01,64648.0,1939.0,Market Adjustment
EMP10006,2020-04-01,68191.0,5455.0,Promotion
EMP10006,2021-04-01,75324.0,2260.0,Annual Revision
EMP10006,2022-04-01,73146.0,8777.0,Annual Revision
EMP10006,2023-04-01,86676.0,10401.0,Annual Revision
EMP10006,2024-04-01,99193.0,4960.0,Annual Revision
EMP10006,2025-04-01,110901.0,8872.0,Annual Revision
EMP10006,2026-04-01,122245.0,3667.0,Promotion
EMP10007,2024-04-01,45709.0,3657.0,Annual Revision
EMP10007,2025-04-01,46491.0,2325.0,Annual Revision
EMP10007,2026-04-01,57653.0,6918.0,Promotion
EMP10008,2020-04-01,67436.0,2023.0,Annual Revision
EMP10008,2021-04-01,67113.0,8054.0,Market Adjustment
EMP10008,2022-04-01,74524.0,5962.0,No Change
EMP10008,2023-04-01,86922.0,6954.0,Market Adjustment
EMP10008,2024-04-01,103668.0,5183.0,Promotion
EMP10008,2025-04-01,105062.0,3152.0,No Change
EMP10008,2026-04-01,122063.0,6103.0,Promotion
EMP10009,2022-04-01,125550.0,6277.0,Annual Revision
EMP10009,2023-04-01,135335.0,10827.0,Promotion
EMP10009,2024-04-01,148097.0,17772.0,Annual Revision
EMP10009,2025-04-01,163745.0,13100.0,Promotion
